22:57:36[TestNG-test=TestSauceLabs-3] INFO  applog - Starting locked_out_user
22:57:36[TestNG-test=TestSauceLabs-2] INFO  applog - Starting performance_glitch_user
22:57:37[TestNG-test=TestSauceLabs-4] INFO  applog - Starting TestValidCompleteFlow
22:57:42[TestNG-test=TestSauceLabs-1] INFO  applog - Starting login_ProblemUser
22:57:43[TestNG-test=TestSauceLabs-3] INFO  applog - Test Successed
22:57:43[TestNG-test=TestSauceLabs-4] INFO  applog - Test Successed
22:57:43[TestNG-test=TestSauceLabs-4] INFO  applog - Starting TestValidCompleteFlow
22:57:48[TestNG-test=TestSauceLabs-2] INFO  applog - Test Successed
22:57:49[TestNG-test=TestSauceLabs-1] INFO  applog - Test Successed
22:57:52[TestNG-test=TestSauceLabs-4] INFO  applog - Test Successed
22:57:52[TestNG-test=TestSauceLabs-4] INFO  applog - Starting TestValidCompleteFlow
22:57:59[TestNG-test=TestSauceLabs-4] INFO  applog - Test Successed
22:57:59[TestNG-test=TestSauceLabs-4] INFO  applog - Starting TestValidCompleteFlow
22:58:00[TestNG-test=TestSauceLabs-4] INFO  applog - Test Successed
22:58:00[TestNG-test=TestSauceLabs-4] INFO  applog - Starting TestValidCompleteFlow
22:58:01[main] INFO  applog - Test Finished
